idx,T_mean,T_ripple,feasible,best_so_far,t_ansys_s,status
106,4.307452,23.991669,1,4.374645,19.9,ok
107,4.313446,18.119352,1,4.374645,18.9,ok
108,4.325945,21.999749,1,4.374645,18.9,ok
109,4.091170,25.165083,1,4.374645,18.8,ok
110,4.299627,21.863650,1,4.374645,18.8,ok
111,4.313276,17.562013,1,4.374645,19.9,ok
112,4.321053,19.662176,1,4.374645,19.0,ok
113,4.313868,17.278704,1,4.374645,18.9,ok
114,4.321656,21.997269,1,4.374645,19.2,ok
115,4.309189,18.131370,1,4.374645,19.5,ok
116,4.346084,19.920458,1,4.374645,18.9,ok
117,4.253153,21.236006,1,4.374645,18.8,ok
118,4.377684,16.242172,1,4.377684,19.5,ok
119,4.275067,20.165364,1,4.377684,20.0,ok
120,4.280848,22.191667,1,4.377684,20.1,ok
121,4.333069,30.877226,1,4.377684,20.0,ok
122,4.375994,21.249175,1,4.377684,19.3,ok
123,4.368546,22.748448,1,4.377684,19.9,ok
124,4.171269,25.448286,1,4.377684,19.7,ok
125,4.264751,20.118065,1,4.377684,19.5,ok
126,4.318496,29.471729,1,4.377684,18.8,ok
127,4.345249,10.558787,1,4.377684,20.4,ok
128,4.297878,15.032358,1,4.377684,19.8,ok
129,4.346781,15.102377,1,4.377684,18.9,ok
130,4.270037,28.554266,1,4.377684,19.7,ok
131,4.305774,17.607229,1,4.377684,20.1,ok
132,4.370096,16.815525,1,4.377684,19.9,ok
133,3.985364,30.237479,1,4.377684,19.8,ok
134,4.330805,21.165685,1,4.377684,19.6,ok
135,4.374761,18.229471,1,4.377684,19.3,ok
136,4.205148,33.055261,1,4.377684,19.2,ok
137,4.351384,17.621215,1,4.377684,20.3,ok
138,4.290010,11.553827,1,4.377684,19.0,ok
139,4.399914,16.008992,1,4.399914,19.2,ok
140,4.357382,13.548689,1,4.399914,19.3,ok
141,4.369344,10.815849,1,4.399914,19.6,ok
142,4.369748,10.249884,1,4.399914,20.1,ok
143,4.371136,22.589380,1,4.399914,18.9,ok
144,4.192614,34.405268,1,4.399914,20.8,ok
145,4.141847,10.717817,1,4.399914,19.5,ok
146,4.335646,16.066764,1,4.399914,18.9,ok
147,4.359875,20.801016,1,4.399914,19.6,ok
148,4.367347,15.107382,1,4.399914,19.1,ok
149,4.381591,24.770637,1,4.399914,19.8,ok
150,4.284058,25.584429,1,4.399914,19.8,ok
151,4.335840,17.585536,1,4.399914,18.9,ok
152,4.284207,9.237261,1,4.399914,19.0,ok
153,4.383804,12.042672,1,4.399914,18.9,ok
154,4.326880,20.652029,1,4.399914,19.4,ok
155,4.372004,16.413983,1,4.399914,19.1,ok
156,4.244764,19.643879,1,4.399914,20.1,ok
157,4.250957,13.118069,1,4.399914,19.9,ok
158,4.381586,15.906895,1,4.399914,20.1,ok
159,4.039731,15.955012,1,4.399914,19.3,ok
160,4.004033,14.414011,1,4.399914,19.1,ok
161,4.398657,18.762559,1,4.399914,19.4,ok
162,4.376407,15.123782,1,4.399914,19.8,ok
163,4.381515,22.547668,1,4.399914,19.3,ok
164,4.367504,13.600422,1,4.399914,18.9,ok
165,4.292459,13.871022,1,4.399914,19.0,ok
166,4.078489,29.215705,1,4.399914,19.3,ok
167,4.322702,24.920279,1,4.399914,19.2,ok
168,4.405520,17.621270,1,4.405520,19.1,ok
169,4.379665,19.719025,1,4.405520,19.4,ok
170,4.376561,14.856618,1,4.405520,19.2,ok
171,4.398813,23.952557,1,4.405520,20.2,ok
172,4.400022,28.278216,1,4.405520,18.9,ok
173,4.258321,27.794516,1,4.405520,19.9,ok
174,4.432152,25.696520,1,4.432152,19.9,ok
175,4.422515,24.434940,1,4.432152,19.9,ok
176,4.217304,23.611497,1,4.432152,19.9,ok
177,4.417858,19.195174,1,4.432152,19.1,ok
178,4.426715,19.742963,1,4.432152,19.0,ok
179,4.418874,24.986416,1,4.432152,19.4,ok
180,4.403944,25.939794,1,4.432152,19.6,ok
181,4.394259,31.899880,1,4.432152,20.0,ok
182,4.329882,28.725321,1,4.432152,19.9,ok
183,4.404325,20.896712,1,4.432152,19.2,ok
184,4.404022,22.591608,1,4.432152,19.8,ok
185,4.372878,24.846329,1,4.432152,20.0,ok
186,4.377258,22.637568,1,4.432152,19.1,ok
187,4.395325,22.898409,1,4.432152,19.7,ok
188,4.356513,16.332818,1,4.432152,19.2,ok
189,4.113104,31.170547,1,4.432152,19.8,ok
190,4.323296,14.609397,1,4.432152,19.7,ok
191,4.393399,22.592289,1,4.432152,19.3,ok
192,4.281954,28.728195,1,4.432152,19.7,ok
193,4.116655,34.786923,1,4.432152,19.3,ok
194,4.153248,20.482538,1,4.432152,19.2,ok
195,4.282366,20.151869,1,4.432152,19.7,ok
196,4.326245,30.419002,1,4.432152,20.1,ok
197,4.418505,31.007415,1,4.432152,19.0,ok
198,4.374651,27.647273,1,4.432152,19.0,ok
199,4.434635,23.903283,1,4.434635,19.8,ok
