motor,seed,pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11,pt12,pt13,pt14,pt15,pt16,pt17
motor1,42,2.84328661503981,5.72472621050195,6.25514521151974,5.45882773776242,3.21834854871531,1.52267335748991,4.23525107548639,6.29205787147231,5.88232475124787,4.55975351808639,1.72943623054415,2.54881271544815,5.77437028413204,6.45323496006949,5.56206159801012,3.66228937158203,1.41884863262061,2.69327830074069
motor1,43,3.82711104369426,4.7231897231755,5.37908808951157,4.25514185366975,3.86962573771599,3.78631599400334,4.17398043770006,5.47347087404881,5.26196081748446,3.90741449105513,3.62107211941905,2.75851695818648,4.59760592899659,5.8324064668066,4.69501469905119,3.97465000716926,3.86099101580675,3.74558046215964
motor2,42,28.4332253447769,36.607542047744,41.2781034284885,33.9248032326492,27.9252723165594,28.3053785081097,38.6900195712755,42.5602405046156,34.9710247449619,27.1954924889236,27.5122945118841,,,,,,,
motor2,43,28.5486013689482,38.6741149231556,45.7312425906056,42.1979918247964,29.6310195214468,25.6061625710568,38.6370612884332,46.7279060170517,41.9231615031493,30.2998228606087,26.4492708144192,,,,,,,
