method,design,T_FEA,ripple_FEA,W_d,W_q,T_proxy
HacklGenerator_OneLambda,38,3.2386876857740665,37.47007439012087,4553059.115749944,2570143.0072065,1982916.108543444
HacklGenerator_OneLambda,10,4.413769596995771,20.413200249075572,4519881.352655729,2535137.7301004915,1984743.6225552377
HacklGenerator_OneLambda,9,4.431631289275917,25.2311539914522,4522367.421699088,2539339.4841046412,1983027.9375944468
HacklGenerator_OneLambda,46,4.1894064251711445,29.06368613490747,4520700.766074112,2545058.5188621082,1975642.2472120035
HacklGenerator_OneLambda,16,2.710494909773087,41.38459762597431,4513813.3938607145,2539664.820314129,1974148.5735465856
HacklGenerator_OneLambda,43,3.6357736051974303,25.210993360384418,4573270.932956487,2585344.153222169,1987926.7797343181
HacklGenerator_OneLambda,27,4.145733552557012,44.24095535193129,4521790.340696696,2528137.0711476104,1993653.2695490858
HacklGenerator_OneLambda,44,4.318104387132586,33.95631277573032,4574483.268554421,2568163.983992225,2006319.2845621961
HacklGenerator_OneLambda,20,4.237511622606726,24.54443442364542,4523949.188144468,2523887.5144594703,2000061.6736849975
HacklGenerator_OneLambda,40,3.8670699987828727,22.360604583810044,4523088.659359707,2541344.074139338,1981744.5852203686
HacklGenerator_OneLambda,6,3.87512302213352,29.981236850829028,4523770.937543399,2525234.1913203797,1998536.746223019
HacklGenerator_OneLambda,32,4.069243240210803,46.0118880957376,4520896.37116662,2513139.327022489,2007757.0441441312
HacklGenerator_OneLambda,29,4.0775482819608735,11.733503981142208,4514658.644789359,2528839.4916983573,1985819.1530910013
HacklGenerator_OneLambda,0,3.454512403150418,29.030813801364612,4570618.889413527,2593142.361705184,1977476.5277083432
HacklGenerator_OneLambda,47,3.610307282691526,33.290356400980556,4521134.002467411,2533792.295106902,1987341.7073605089
HacklGenerator_OneLambda,2,4.073469425884397,30.17323903581633,4515084.703691285,2528127.6229537986,1986957.0807374865
HacklGenerator_OneLambda,26,3.9841990496749258,35.864380825939605,4514588.200410849,2549378.523928131,1965209.6764827184
HacklGenerator_OneLambda,21,4.118993825780879,27.381742650102822,4523816.83177034,2526312.4277478703,1997504.4040224697
HacklGenerator_OneLambda,33,4.245457312250855,25.34984846868662,4523151.901066847,2526559.7848775783,1996592.1161892689
HacklGenerator_OneLambda,1,4.0482969824779085,41.54641345640298,4518224.063048391,2514564.401977809,2003659.6610705815
HacklGenerator_SixLambdas,40,3.5315237504054013,34.05393843410936,4514909.294478178,2550421.1186155207,1964488.1758626574
HacklGenerator_SixLambdas,44,4.101402633730398,40.5694591598856,4520294.212739252,2537084.4775888636,1983209.735150388
HacklGenerator_SixLambdas,13,3.717943997142705,19.01814069642277,4512901.280634377,2528957.836150369,1983943.444484008
HacklGenerator_SixLambdas,4,4.298789938710975,23.740909470384107,4518216.533248788,2545433.3895448158,1972783.143703972
HacklGenerator_SixLambdas,46,4.321211226681135,29.42029995208049,4519306.285032617,2536003.994431843,1983302.2906007739
HacklGenerator_SixLambdas,48,4.339154021292737,25.107221213639097,4517844.4280387275,2527175.204718627,1990669.2233201005
HacklGenerator_SixLambdas,18,4.428804752912217,11.730666345415882,4520769.97501938,2536810.0776366214,1983959.897382759
HacklGenerator_SixLambdas,0,4.004808010182614,17.59257934330784,4517136.6892442275,2540133.0563678215,1977003.632876406
HacklGenerator_SixLambdas,33,3.674222087673471,32.079770693962196,4518420.6358696185,2540664.0659652012,1977756.5699044173
HacklGenerator_SixLambdas,35,4.436064105087906,21.25555889079938,4519785.984738522,2512319.951099841,2007466.0336386813
HacklGenerator_SixLambdas,10,4.089262617756118,25.0316068360488,4519068.452505723,2549616.9611123577,1969451.491393365
HacklGenerator_SixLambdas,25,4.044193212558131,17.784661006744727,4515638.172127381,2525773.4873994896,1989864.6847278913
HacklGenerator_SixLambdas,19,4.425468899229089,20.03095715562676,4517214.424016465,2513207.37013183,2004007.0538846352
HacklGenerator_SixLambdas,12,4.412864356416158,12.016508018180357,4518772.443669666,2536570.230962866,1982202.2127067996
HacklGenerator_SixLambdas,47,4.294802086551587,18.53109383606153,4514295.567848407,2529699.957228042,1984595.6106203645
HacklGenerator_SixLambdas,24,4.070984781654028,24.73485024465923,4516745.961091481,2535054.1307195215,1981691.8303719596
HacklGenerator_SixLambdas,32,3.952863653177958,30.56619737114342,4520111.389740985,2604957.975526591,1915153.414214394
HacklGenerator_SixLambdas,16,4.473819352332966,30.07358431405512,4518336.207671206,2548367.5615087105,1969968.646162496
HacklGenerator_SixLambdas,37,4.445670947291671,28.103279801933777,4518931.075219024,2513614.344145741,2005316.7310732831
HacklGenerator_SixLambdas,20,4.463406435223453,21.407317800851956,4518164.29817747,2527908.8883905336,1990255.4097869368
HacklGenerator_3BrokenLines,31,3.6879693124289674,36.28263310099764,4516511.448839351,2521657.417766708,1994854.0310726427
HacklGenerator_3BrokenLines,13,3.4517618681434015,34.8421600859148,4527525.109379508,2593371.9271446518,1934153.1822348558
HacklGenerator_3BrokenLines,29,3.6675806399055992,29.30405797938756,4519899.935457753,2539626.2781450674,1980273.6573126856
HacklGenerator_3BrokenLines,38,4.103581508295804,29.073936803572785,4522160.274398213,2530333.2115319027,1991827.0628663106
HacklGenerator_3BrokenLines,22,3.672488547545247,23.464156575534545,4517965.277438972,2539004.464226993,1978960.8132119793
HacklGenerator_3BrokenLines,2,3.196858117567604,44.65231646576699,4520377.933850376,2541152.9011301002,1979225.0327202757
HacklGenerator_3BrokenLines,11,3.479997139269615,17.847443510283618,4520208.218702525,2537123.0147981765,1983085.2039043484
HacklGenerator_3BrokenLines,8,4.372142379829813,22.83601892796744,4519188.613745961,2528015.583052407,1991173.0306935543
HacklGenerator_3BrokenLines,44,3.974001850610444,21.519122813754272,4517537.204774596,2529239.953544229,1988297.251230367
HacklGenerator_3BrokenLines,26,4.013693500565035,18.48737609070575,4519921.686619261,2536472.2324690567,1983449.4541502045
HacklGenerator_3BrokenLines,14,3.316092425268351,35.37279286972622,4523687.8329634145,2540119.8893674463,1983567.9435959682
HacklGenerator_3BrokenLines,16,4.316830122618089,33.26215663802685,4519454.772825904,2512871.972266888,2006582.8005590164
