method,design,T_FEA,ripple_FEA,W_d,W_q,T_proxy
HacklGenerator_OneLambda,38,3.2386876857740665,37.47007439012087,11058875014193.777,2026677160672.5317,9032197853521.246
HacklGenerator_OneLambda,10,4.413769596995771,20.413200249075572,11028159543562.064,1683357938206.3586,9344801605355.705
HacklGenerator_OneLambda,9,4.431631289275917,25.2311539914522,10995841322990.94,1775737488907.4573,9220103834083.482
HacklGenerator_OneLambda,46,4.1894064251711445,29.06368613490747,10943146113749.234,1857150161321.753,9085995952427.48
HacklGenerator_OneLambda,16,2.710494909773087,41.38459762597431,11085546901906.402,2124375349057.154,8961171552849.248
HacklGenerator_OneLambda,43,3.6357736051974303,25.210993360384418,11030750515716.037,2088040306878.4097,8942710208837.627
HacklGenerator_OneLambda,27,4.145733552557012,44.24095535193129,11003646777586.701,1754802966266.2163,9248843811320.484
HacklGenerator_OneLambda,44,4.318104387132586,33.95631277573032,11105175051530.205,1570396767777.8232,9534778283752.383
HacklGenerator_OneLambda,20,4.237511622606726,24.54443442364542,11107087633686.723,1736012263208.5002,9371075370478.223
HacklGenerator_OneLambda,40,3.8670699987828727,22.360604583810044,10951130628624.512,1946716102532.4038,9004414526092.107
HacklGenerator_OneLambda,6,3.87512302213352,29.981236850829028,11027377745439.406,1762349658847.4526,9265028086591.953
HacklGenerator_OneLambda,32,4.069243240210803,46.0118880957376,11152306588572.508,1735369164842.5137,9416937423729.994
HacklGenerator_OneLambda,29,4.0775482819608735,11.733503981142208,11169341385645.623,1827262346327.9424,9342079039317.68
HacklGenerator_OneLambda,0,3.454512403150418,29.030813801364612,10917017517039.564,1975051348935.6333,8941966168103.932
HacklGenerator_OneLambda,47,3.610307282691526,33.290356400980556,11029609101913.406,1961124317240.6597,9068484784672.746
HacklGenerator_OneLambda,2,4.073469425884397,30.17323903581633,11004025743972.273,1807609089016.0947,9196416654956.18
HacklGenerator_OneLambda,26,3.9841990496749258,35.864380825939605,10991499346297.02,1869249402758.88,9122249943538.14
HacklGenerator_OneLambda,21,4.118993825780879,27.381742650102822,11137683028431.787,1839487652516.372,9298195375915.414
HacklGenerator_OneLambda,33,4.245457312250855,25.34984846868662,11017821702766.305,1669781623527.624,9348040079238.68
HacklGenerator_OneLambda,1,4.0482969824779085,41.54641345640298,11112409676080.336,1772778457374.0654,9339631218706.27
HacklGenerator_SixLambdas,40,3.5315237504054013,34.05393843410936,11063996061837.293,1993786218128.8486,9070209843708.445
HacklGenerator_SixLambdas,44,4.101402633730398,40.5694591598856,11198580004018.66,1829810410614.2266,9368769593404.434
HacklGenerator_SixLambdas,13,3.717943997142705,19.01814069642277,11229274566230.05,1896760895761.1147,9332513670468.936
HacklGenerator_SixLambdas,4,4.298789938710975,23.740909470384107,11083099478501.54,1883519455924.9531,9199580022576.586
HacklGenerator_SixLambdas,46,4.321211226681135,29.42029995208049,11280163017989.715,1692195990847.2617,9587967027142.453
HacklGenerator_SixLambdas,48,4.339154021292737,25.107221213639097,11235963843281.826,1795900171159.9646,9440063672121.861
HacklGenerator_SixLambdas,18,4.428804752912217,11.730666345415882,11182616474279.75,1812831633967.1753,9369784840312.574
HacklGenerator_SixLambdas,0,4.004808010182614,17.59257934330784,11122231615042.996,1957714371710.963,9164517243332.033
HacklGenerator_SixLambdas,33,3.674222087673471,32.079770693962196,11077078283901.227,1967327135376.065,9109751148525.162
HacklGenerator_SixLambdas,35,4.436064105087906,21.25555889079938,11241971062289.883,1555198578628.4458,9686772483661.438
HacklGenerator_SixLambdas,10,4.089262617756118,25.0316068360488,11097272559798.514,2002151540620.2942,9095121019178.219
HacklGenerator_SixLambdas,25,4.044193212558131,17.784661006744727,11317891705385.45,1739947976908.4873,9577943728476.96
HacklGenerator_SixLambdas,19,4.425468899229089,20.03095715562676,11266099090795.723,1582649238836.48,9683449851959.242
HacklGenerator_SixLambdas,12,4.412864356416158,12.016508018180357,11127389595734.07,1814029004617.54,9313360591116.531
HacklGenerator_SixLambdas,47,4.294802086551587,18.53109383606153,11216765801841.71,1724549926358.7246,9492215875482.986
HacklGenerator_SixLambdas,24,4.070984781654028,24.73485024465923,11270057911866.635,1764783027482.2249,9505274884384.41
HacklGenerator_SixLambdas,32,3.952863653177958,30.56619737114342,11253331481241.484,1855495600857.1084,9397835880384.375
HacklGenerator_SixLambdas,16,4.473819352332966,30.07358431405512,11077994522292.508,1812068398887.8345,9265926123404.674
HacklGenerator_SixLambdas,37,4.445670947291671,28.103279801933777,11249692486241.523,1632649771339.3408,9617042714902.184
HacklGenerator_SixLambdas,20,4.463406435223453,21.407317800851956,11247432393215.477,1693810085265.5996,9553622307949.877
HacklGenerator_3BrokenLines,31,3.6879693124289674,36.28263310099764,10953720617304.773,1728272242139.0396,9225448375165.734
HacklGenerator_3BrokenLines,13,3.4517618681434015,34.8421600859148,10881363905314.695,1999508214351.6284,8881855690963.066
HacklGenerator_3BrokenLines,29,3.6675806399055992,29.30405797938756,10861932004388.8,1818360897709.0952,9043571106679.705
HacklGenerator_3BrokenLines,38,4.103581508295804,29.073936803572785,11094493243315.602,1866643336633.2034,9227849906682.398
HacklGenerator_3BrokenLines,22,3.672488547545247,23.464156575534545,10979006839052.234,1988690593649.267,8990316245402.967
HacklGenerator_3BrokenLines,2,3.196858117567604,44.65231646576699,10880307348689.145,1998385541680.2502,8881921807008.895
HacklGenerator_3BrokenLines,11,3.479997139269615,17.847443510283618,11112752229902.15,2090372322679.3052,9022379907222.846
HacklGenerator_3BrokenLines,8,4.372142379829813,22.83601892796744,11149933054227.402,1800586776933.4973,9349346277293.904
HacklGenerator_3BrokenLines,44,3.974001850610444,21.519122813754272,11149583912608.336,1875277510770.711,9274306401837.625
HacklGenerator_3BrokenLines,26,4.013693500565035,18.48737609070575,11077263820147.684,1946027155597.0386,9131236664550.645
HacklGenerator_3BrokenLines,14,3.316092425268351,35.37279286972622,10831686759917.87,1883931517523.5103,8947755242394.36
HacklGenerator_3BrokenLines,16,4.316830122618089,33.26215663802685,11074330755901.822,1678488971372.1106,9395841784529.71
